palabra,frecuencia
prohibe,34
la,1413
exhibicion,15
de,1634
todo,298
tipo,134
publicacion,46
calificada,3
prohibida,17
para,1026
menores,44
19,128
1984,72
buena,911
enero,42
yerba,939
nº,851
ordenanza,1048
visto,811
acordes,5
calificacion,6
calificado,6
con,1059
consideran,17
cuales,87
del,1155
demas,86
edad,47
en,1193
fotografias,6
generalmente,6
incluso,21
indiscriminada,5
kioscos,7
las,968
los,1017
lugares,72
mismas,134
ponen,4
presentan,6
prohibidas,6
prohibido,34
proliferacion,11
publico,230
que,1117
revistas,7
se,894
su,694
sus,456
tapas,3
venta,61
vista,34
considerando,812
18,113
24,142
5529,156
articulo,958
buenas,18
concejo,772
concerniente,13
costumbres,13
deber,45
deliberante,768
el,1322
es,511
implementar,72
inc,57
ley,418
lo,562
moralidad,13
provincial,492
segun,272
fuerza,850
sanciona,850
canje,6
departamento,90
exhibirse,2
mismos,163
primero,836
prohibese,10
pudiendo,65
publica,215
titulos,22
unicamente,47
adoptara,5
cumplimiento,231
dar,113
dispuesto,119
estipulado,28
gobierno,189
medidas,201
municipalidad,569
necesarias,133
presente,414
secretaria,167
segundo,836
archivese,849
comuniquese,849
copiese,528
tercero,634
0005,1
vigente,856
general,866
crea,162
biblioteca,16
municipal,588
predios,29
hcd,70
06,97
febrero,39
21,117
100,73
aproximadamente,17
basico,16
cien,25
comunal,5
civico,1
donado,20
fondo,65
ha,127
hacia,71
infante,5
juvenil,6
libros,13
movimiento,18
orientado,1
un,751
bibliotecaria,1
designado,21
acceso,77
caso,234
ciudad,291
como,572
control,109
cuenta,226
cumple,17
documentacion,181
ella,42
esta,500
estadistica,7
exigencia,11
gratuito,30
imprescindible,44
institucion,43
lector,2
necesidad,217
ninguna,38
no,539
nuestra,150
obvio,1
otra,164
personal,203
planilla,9
registrara,7
respectiva,48
rol,6
sera,276
señalar,5
sin,272
toda,234
torna,4
una,669
acrecentar,3
arreglo,12
cambio,52
cobrara,7
cuota,22
deterioros,3
existente,47
minima,47
posibles,18
regimen,106
servir,6
socios,12
crease,77
dependiente,45
dicha,214
funcionara,27
688,5
998,8
ad,43
chavanne,1
designase,20
honorem,10
lc,5
maria,36
sofia,1
sosa,1
sra,26
caracter,151
cuarto,416
tendra,123
atenderan,3
demande,30
gastos,80
generales,47
quinto,285
rentas,58
sexto,202
0021,1
faculta,253
al,1058
dem,486
a,932
proveer,44
indumentaria,5
cementerio,38
y,1016
construir,40
2,68
baños,11
botiquin,6
primeros,24
auxilios,9
22,124
acuerdo,211
deben,137
desempeñan,4
desempeñar,9
empleados,71
ese,75
inadecuada,3
insalubres,6
obreros,26
organismo,51
por,1019
provista,4
tareas,81
agentes,52
algunos,35
arreglos,3
asi,228
ataudes,6
